"","ID","X0","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18"
"5865",610064,0,12,22,22,22,36,22,22,12,12,12,12,6,2,2,2,2,0,0
"5866",610065,0,22,22,36,22,22,22,22,22,22,12,6,6,6,6,2,2,0,0
"5867",610066,0,6,12,12,22,22,22,22,22,22,12,12,12,12,12,6,2,0,0
"5868",610067,0,12,22,22,22,22,22,36,36,36,36,22,22,22,12,6,2,2,0
"5869",610068,0,12,22,22,22,36,22,22,12,22,12,22,12,12,6,6,2,2,0
"5870",610069,0,6,12,12,12,12,12,12,6,6,6,6,2,2,2,2,0,0,0
"5871",610070,0,12,22,57,57,57,36,36,22,22,22,22,22,22,12,6,6,2,0
"5872",610071,0,22,36,22,36,22,36,22,36,22,22,12,6,2,2,2,0,0,0
"5873",610072,0,22,36,36,36,57,57,57,36,36,22,22,12,12,12,6,6,2,0
"5874",610073,0,22,12,22,36,22,22,22,22,22,12,12,12,6,6,2,2,2,0
"5875",610074,0,12,22,36,36,36,22,22,22,12,12,12,6,6,6,2,0,0,0
"5876",610075,0,22,22,22,36,22,22,22,22,12,12,6,6,6,6,6,6,2,0
"5877",610076,0,12,22,22,36,36,22,22,22,12,12,12,12,12,6,6,6,2,0
"5878",610077,0,6,12,36,22,36,22,22,22,22,12,22,12,6,6,6,6,2,0
"5879",610078,0,12,22,36,36,36,22,22,22,22,36,22,22,22,12,6,2,2,0
"5880",610079,0,22,36,22,36,22,36,57,57,36,22,36,22,12,6,6,2,2,0
"5881",610080,0,6,12,22,36,36,36,36,36,36,36,22,22,12,6,2,2,2,0
"5882",610081,0,6,12,22,36,22,22,36,36,36,22,22,12,12,6,2,0,0,0
"5883",610082,0,6,22,36,36,22,22,22,12,12,12,6,12,6,6,2,2,0,0
"5884",610083,0,12,22,57,36,57,57,57,36,36,36,22,12,12,12,6,2,2,0
"5885",610084,0,6,6,12,12,22,22,22,22,22,22,22,12,6,2,2,2,0,0
"5886",610085,0,12,22,36,22,57,36,36,22,22,22,12,12,12,12,6,6,2,0
"5887",610086,0,12,22,22,22,22,22,22,22,22,22,22,12,12,6,6,2,0,0
"5888",610087,0,12,22,22,12,36,36,36,22,22,12,12,12,12,12,6,2,2,0
"5889",610088,0,12,22,22,22,22,12,6,2,6,6,6,2,6,2,2,2,0,0
"5890",610089,0,22,22,22,12,22,22,22,22,12,6,6,2,2,2,2,0,0,0
"5891",610090,0,22,22,12,22,36,22,22,22,12,6,6,6,6,6,6,6,2,0
"5892",610091,0,12,12,22,22,36,36,36,36,36,36,22,22,12,12,6,6,2,0
"5893",610092,0,6,12,12,36,36,22,22,22,12,12,12,12,6,6,2,2,2,0
"5894",610093,0,12,12,22,22,22,22,22,12,6,6,2,2,2,2,2,2,2,0
"5895",610094,0,22,36,36,36,36,22,12,12,12,12,6,6,2,2,2,0,0,0
"5896",610095,0,22,36,22,36,22,22,22,22,12,6,6,6,6,2,2,2,0,0
"5897",610096,0,6,22,22,22,22,22,22,22,22,22,12,12,22,12,6,2,0,0
"5898",610097,0,6,12,12,12,22,22,22,22,22,22,22,22,12,6,2,0,2,0
"5899",610098,0,12,12,12,12,12,12,6,12,12,12,12,6,6,6,2,0,0,0
"5900",610099,0,12,12,22,22,22,22,22,12,12,6,12,12,6,6,6,2,0,0
"5901",620000,0,12,22,36,36,57,36,22,22,22,12,12,12,6,2,2,2,0,0
"5902",620001,0,22,36,57,36,36,36,57,36,36,22,22,12,6,6,6,2,2,0
"5903",620002,0,12,22,22,22,12,22,22,22,22,12,6,6,6,6,2,0,0,0
"5904",620003,0,12,22,36,22,22,22,22,22,22,12,12,12,12,6,2,2,0,0
"5905",620004,0,12,12,12,22,22,22,22,12,12,12,12,12,12,12,6,6,2,0
"5906",620005,0,6,12,12,12,22,12,22,22,22,22,22,22,12,12,12,6,2,0
"5907",620006,0,12,22,36,36,36,36,22,22,22,22,22,22,12,6,6,2,2,0
"5908",620007,0,12,22,36,36,36,22,22,22,22,22,22,12,6,2,2,0,0,0
"5909",620008,0,22,36,36,57,36,36,22,22,22,22,12,12,6,2,0,0,0,0
"5910",620009,0,12,22,12,22,22,22,22,22,22,12,12,12,12,12,6,2,2,0
"5911",620010,0,36,36,36,36,22,22,22,12,12,12,6,12,12,6,2,2,0,0
"5912",620011,0,22,36,57,57,36,36,36,22,22,12,12,12,6,12,6,6,2,0
"5913",620012,0,6,12,22,36,36,36,36,22,22,22,12,12,6,6,6,2,0,0
"5914",620013,0,12,36,36,22,22,36,36,22,22,22,12,6,6,6,6,2,2,0
"5915",620014,0,6,22,22,22,22,22,22,36,36,22,22,22,12,12,6,6,2,0
"5916",620015,0,12,22,57,57,57,36,36,36,36,36,36,22,12,12,6,6,2,0
"5917",620016,0,12,12,22,36,36,36,36,36,22,22,22,12,12,6,2,2,2,0
"5918",620017,0,12,12,22,22,36,36,57,36,36,22,22,22,12,12,6,2,2,0
"5919",620018,0,6,6,12,22,22,22,22,22,12,12,6,6,6,6,2,6,2,0
"5920",620019,0,6,12,22,22,22,12,22,12,12,22,12,12,12,6,6,6,2,0
"5921",620020,0,12,22,22,36,36,57,57,36,36,22,12,6,6,2,2,2,0,0
"5922",620021,0,6,6,12,12,22,22,12,12,12,12,12,12,6,2,2,0,0,0
"5923",620022,0,12,12,22,36,36,36,36,36,36,36,22,12,12,6,2,2,2,0
"5924",620023,0,6,6,12,12,12,12,12,12,12,12,6,6,6,2,2,2,0,0
"5925",620024,0,36,36,36,22,22,36,36,22,22,12,12,12,12,6,6,6,2,0
"5926",620025,0,12,12,6,12,6,6,6,6,6,2,2,2,2,0,0,0,0,0
"5927",620026,0,12,22,22,12,12,12,6,6,6,6,2,2,2,2,2,0,0,0
"5928",620027,0,22,22,36,36,57,36,36,36,36,36,36,36,22,12,6,2,2,0
"5929",620028,0,6,12,12,22,12,12,22,22,12,22,22,12,12,6,6,2,0,0
"5930",620029,0,12,22,22,22,22,22,22,22,22,22,22,22,22,22,12,6,2,0
"5931",620030,0,12,22,36,36,22,22,22,22,12,12,12,12,12,6,2,2,2,0
"5932",620031,0,12,12,12,12,12,12,6,2,2,6,6,2,2,2,2,2,0,0
"5933",620032,0,12,12,22,22,22,22,22,22,22,12,6,6,2,6,2,2,0,0
"5934",620033,0,6,22,22,12,12,22,22,22,12,12,6,6,6,2,2,0,0,0
"5935",620034,0,12,12,36,22,36,36,22,22,22,22,12,12,12,6,6,6,2,0
"5936",620035,0,12,22,12,22,22,22,22,12,12,12,6,6,6,2,2,0,0,0
"5937",620036,0,12,36,57,36,57,57,36,57,36,36,22,22,22,12,6,6,2,0
"5938",620037,0,22,22,36,22,22,22,12,12,22,12,12,12,12,12,6,6,2,0
"5939",620038,0,12,12,22,22,36,36,36,36,22,22,12,6,6,6,6,2,2,0
"5940",620039,0,12,22,36,36,36,22,22,12,22,12,12,6,2,2,2,0,0,0
"5941",620040,0,22,22,22,22,22,22,22,22,22,22,22,22,22,22,12,6,2,0
"5942",620041,0,6,12,22,22,36,22,22,12,12,12,6,6,6,6,6,6,2,0
"5943",620042,0,12,12,22,36,36,36,36,36,36,22,22,22,12,6,6,2,2,0
"5944",620043,0,12,22,22,22,22,22,22,22,22,22,12,12,6,6,2,2,0,0
"5945",620044,0,12,22,22,22,22,22,22,22,12,12,22,22,12,12,6,2,0,0
"5946",620045,0,6,22,36,57,57,57,57,36,36,36,36,36,36,22,12,6,2,0
"5947",620046,0,6,12,22,36,22,36,22,36,36,36,22,22,12,12,12,6,2,0
"5948",620047,0,6,6,12,22,22,22,22,12,22,12,6,6,6,6,6,2,0,0
"5949",620048,0,22,36,57,57,57,86,57,57,57,36,22,22,12,12,6,6,2,0
"5950",620049,0,12,22,36,57,36,36,22,12,12,12,6,6,2,2,2,0,0,0
"5951",620050,0,6,12,12,12,12,12,12,22,12,12,12,6,6,6,2,0,0,0
"5952",620051,0,22,36,22,22,22,22,22,22,22,36,22,12,6,2,2,2,2,0
"5953",620052,0,22,22,22,22,22,22,22,12,12,12,12,6,6,6,2,2,0,0
"5954",620053,0,12,22,22,22,22,22,22,12,12,12,12,12,12,6,6,2,0,0
"5955",620054,0,12,22,22,22,36,36,36,22,22,22,22,12,6,6,6,2,2,0
"5956",620055,0,6,22,22,22,22,12,12,12,12,12,6,12,12,6,6,2,2,0
"5957",620056,0,12,36,36,57,57,36,36,22,22,12,6,6,12,6,6,2,0,0
"5958",620057,0,12,36,57,57,57,57,57,57,57,36,36,22,12,12,6,2,2,0
"5959",620058,0,6,22,22,22,22,22,36,22,12,12,12,6,6,2,2,0,0,0
"5960",620059,0,22,22,22,22,22,36,36,36,36,22,22,12,12,12,6,2,2,0
"5961",620060,0,22,36,36,36,22,22,22,12,12,12,12,12,6,6,2,2,2,0
"5962",620061,0,12,22,22,36,36,22,22,22,12,12,12,12,12,12,12,6,2,0
"5963",620062,0,6,22,22,36,36,36,22,22,22,12,12,12,12,12,6,6,2,0
"5964",620063,0,12,22,36,36,36,36,36,22,22,12,12,12,6,6,2,2,0,0
"5965",620064,0,12,22,22,22,12,22,22,22,22,12,12,6,6,2,0,0,0,0
"5966",620065,0,12,36,36,36,22,12,22,22,12,12,6,6,6,2,2,2,0,0
"5967",620066,0,12,12,12,22,22,22,22,22,22,22,22,22,12,12,6,2,2,0
"5968",620067,0,22,36,36,36,36,36,57,57,57,57,36,22,12,6,6,2,2,0
"5969",620068,0,12,36,36,36,36,36,36,22,22,36,22,22,12,12,12,6,2,0
"5970",620069,0,12,12,22,12,22,12,12,12,12,6,6,6,2,2,2,0,0,0
"5971",620070,0,22,22,22,12,22,22,36,22,36,22,22,22,22,12,6,6,2,0
"5972",620071,0,22,22,57,57,36,36,36,36,22,22,22,22,12,12,12,6,2,0
"5973",620072,0,6,12,22,36,36,36,36,36,22,22,22,22,22,12,6,2,2,0
"5974",620073,0,12,22,22,36,22,22,22,12,22,12,12,22,12,6,6,2,0,0
"5975",620074,0,12,12,22,22,22,36,36,36,36,22,22,12,12,12,6,6,2,0
"5976",620075,0,6,12,22,36,36,36,22,36,22,22,12,12,12,12,6,6,2,0
"5977",620076,0,12,22,36,36,36,22,22,22,22,12,12,6,6,2,2,0,0,0
"5978",620077,0,12,22,22,36,36,36,22,22,22,22,12,6,6,2,0,0,0,0
"5979",620078,0,6,22,22,22,12,12,12,6,6,6,6,6,2,2,2,2,0,0
"5980",620079,0,12,22,22,22,22,22,22,12,22,22,22,22,12,6,2,0,0,0
"5981",620080,0,12,22,36,36,36,36,22,22,22,12,6,12,12,12,6,2,0,0
"5982",620081,0,22,22,22,22,12,12,12,12,12,12,12,12,6,6,2,2,0,0
"5983",620082,0,12,12,12,22,22,36,36,36,36,22,22,22,12,12,6,2,2,0
"5984",620083,0,22,12,22,12,12,12,12,12,12,12,12,12,6,6,6,2,0,0
"5985",620084,0,6,22,22,36,22,22,22,22,12,12,12,12,12,12,6,6,2,0
"5986",620085,0,6,12,12,12,12,12,12,12,12,12,6,6,2,2,6,2,2,0
"5987",620086,0,12,22,22,22,36,36,22,12,12,22,22,22,22,12,6,2,2,0
"5988",620087,0,22,12,22,22,22,22,22,12,12,12,6,6,6,6,2,2,2,0
"5989",620088,0,12,12,12,12,22,12,12,6,6,6,6,2,2,2,2,0,0,0
"5990",620089,0,6,22,12,12,12,12,12,6,6,6,12,12,12,6,6,2,2,0
"5991",620090,0,6,12,22,12,12,12,22,12,6,6,6,6,6,2,2,2,2,0
"5992",620091,0,12,6,12,12,22,22,22,12,12,22,12,12,12,12,6,2,2,0
"5993",620092,0,12,22,22,22,22,36,36,36,36,22,22,12,12,12,6,2,2,0
"5994",620093,0,12,22,22,22,22,22,22,12,12,6,6,6,6,2,2,2,0,0
"5995",620094,0,22,22,36,22,22,36,36,36,36,22,12,12,6,2,2,2,2,0
"5996",620095,0,6,22,36,22,36,36,36,22,22,12,12,6,6,6,2,2,0,0
