ID, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18
5.500000000000000000e+05, 388, 388, 388, 277, 201, 201, 139, 98, 64, 43, 43, 30, 19, 8, 4, 4, 4, 1, 0
5.500010000000000000e+05, 712, 712, 522, 388, 277, 201, 201, 139, 98, 98, 64, 43, 43, 26, 13, 7, 3, 1, 0
5.500020000000000000e+05, 522, 388, 277, 201, 201, 139, 139, 93, 64, 64, 43, 43, 43, 26, 16, 7, 3, 1, 0
5.500030000000000000e+05, 1260, 942, 712, 522, 388, 388, 277, 201, 201, 139, 98, 64, 43, 26, 14, 7, 3, 1, 0
5.500040000000000000e+05, 388, 388, 277, 201, 139, 139, 98, 64, 64, 43, 43, 26, 16, 8, 4, 4, 1, 1, 0
5.500050000000000000e+05, 522, 388, 277, 201, 201, 139, 139, 98, 64, 64, 43, 26, 26, 26, 14, 8, 4, 1, 0
5.500060000000000000e+05, 712, 712, 522, 388, 277, 201, 201, 201, 201, 139, 93, 64, 43, 23, 13, 7, 3, 1, 0
5.500070000000000000e+05, 277, 388, 277, 201, 201, 139, 139, 98, 98, 64, 43, 43, 26, 16, 16, 8, 3, 1, 0
5.500080000000000000e+05, 942, 942, 712, 712, 522, 388, 388, 277, 201, 139, 98, 64, 43, 23, 13, 7, 3, 1, 0
5.500090000000000000e+05, 712, 712, 712, 712, 522, 522, 388, 277, 194, 134, 90, 37, 37, 23, 13, 7, 3, 1, 0
5.500100000000000000e+05, 388, 388, 277, 277, 201, 201, 201, 201, 201, 139, 98, 64, 43, 26, 14, 7, 4, 1, 0
5.500110000000000000e+05, 1260, 942, 712, 712, 522, 388, 388, 277, 194, 37, 37, 37, 37, 23, 13, 7, 3, 1, 0
5.500120000000000000e+05, 712, 712, 712, 522, 388, 277, 201, 201, 201, 139, 98, 64, 23, 23, 13, 7, 3, 1, 0
5.500130000000000000e+05, 942, 942, 712, 522, 388, 277, 201, 201, 139, 98, 98, 64, 43, 24, 14, 8, 4, 1, 0
5.500140000000000000e+05, 522, 522, 388, 388, 388, 277, 201, 201, 139, 98, 98, 64, 43, 26, 16, 8, 4, 1, 0
5.500150000000000000e+05, 522, 522, 388, 388, 277, 201, 201, 139, 98, 98, 64, 64, 43, 26, 16, 7, 3, 1, 0
5.500160000000000000e+05, 277, 277, 201, 201, 139, 98, 98, 64, 64, 43, 43, 43, 26, 16, 8, 4, 4, 2, 0
5.500170000000000000e+05, 377, 277, 201, 201, 139, 98, 64, 43, 43, 26, 16, 16, 16, 8, 4, 1, 2, 0, 0
5.500180000000000000e+05, 712, 712, 522, 388, 388, 277, 201, 201, 139, 98, 64, 43, 43, 26, 16, 8, 4, 1, 0
5.500190000000000000e+05, 522, 388, 388, 277, 194, 139, 139, 98, 37, 64, 43, 43, 26, 16, 16, 8, 3, 1, 0
5.500200000000000000e+05, 712, 522, 388, 277, 201, 201, 201, 201, 139, 98, 98, 64, 43, 26, 14, 7, 4, 1, 0
5.500210000000000000e+05, 277, 201, 201, 201, 201, 139, 98, 64, 64, 43, 43, 26, 16, 16, 8, 8, 4, 1, 0
5.500220000000000000e+05, 712, 522, 522, 388, 388, 277, 201, 139, 98, 64, 43, 43, 26, 16, 16, 7, 3, 1, 0
5.500230000000000000e+05, 388, 388, 277, 201, 201, 139, 139, 98, 98, 98, 64, 43, 26, 13, 7, 7, 3, 1, 0
5.500240000000000000e+05, 712, 712, 522, 522, 388, 277, 201, 139, 98, 98, 98, 64, 43, 26, 13, 7, 3, 1, 0
5.500250000000000000e+05, 942, 712, 522, 388, 277, 201, 201, 201, 201, 139, 98, 64, 43, 23, 13, 7, 3, 1, 0
5.500260000000000000e+05, 388, 277, 201, 201, 139, 98, 98, 98, 98, 64, 43, 43, 43, 26, 16, 8, 3, 1, 0
5.500270000000000000e+05, 388, 388, 388, 277, 277, 277, 201, 139, 93, 64, 43, 43, 26, 26, 16, 8, 4, 2, 0
5.500280000000000000e+05, 277, 277, 277, 201, 201, 139, 98, 98, 64, 43, 43, 26, 16, 8, 4, 4, 1, 1, 0
5.500290000000000000e+05, 1260, 942, 942, 712, 712, 522, 388, 277, 194, 139, 98, 64, 43, 23, 13, 7, 3, 1, 0
5.500300000000000000e+05, 388, 388, 388, 277, 201, 201, 139, 139, 98, 98, 64, 75, 48, 33, 22, 12, 6, 2, 0
5.500310000000000000e+05, 712, 522, 388, 277, 201, 139, 98, 98, 64, 43, 26, 26, 16, 16, 8, 4, 4, 2, 0
5.500320000000000000e+05, 522, 522, 388, 388, 277, 201, 201, 201, 201, 139, 98, 64, 40, 26, 16, 7, 3, 1, 0
5.500330000000000000e+05, 1260, 942, 942, 712, 712, 522, 388, 277, 201, 139, 98, 64, 37, 23, 13, 7, 3, 1, 0
5.500340000000000000e+05, 942, 712, 522, 522, 388, 277, 277, 201, 139, 139, 98, 64, 43, 26, 14, 8, 4, 1, 0
5.500350000000000000e+05, 712, 522, 388, 388, 277, 201, 201, 201, 201, 139, 37, 37, 23, 23, 13, 7, 3, 1, 0
5.500360000000000000e+05, 522, 522, 388, 388, 277, 277, 201, 201, 139, 98, 64, 43, 43, 26, 16, 8, 4, 1, 0
5.500370000000000000e+05, 522, 388, 388, 388, 277, 201, 139, 139, 98, 64, 40, 26, 16, 8, 8, 4, 1, 1, 0
5.500380000000000000e+05, 942, 942, 712, 712, 522, 522, 388, 277, 201, 139, 98, 64, 40, 26, 16, 7, 3, 1, 0
5.500390000000000000e+05, 712, 712, 522, 388, 388, 388, 277, 201, 201, 139, 98, 64, 43, 26, 16, 8, 3, 1, 0
5.500400000000000000e+05, 388, 388, 388, 388, 277, 201, 201, 201, 201, 139, 98, 64, 43, 23, 13, 7, 3, 1, 0
5.500410000000000000e+05, 370, 388, 277, 277, 201, 201, 225, 156, 98, 75, 43, 26, 16, 16, 8, 10, 6, 2, 0
5.500420000000000000e+05, 277, 201, 201, 139, 98, 98, 98, 98, 64, 40, 40, 26, 16, 8, 8, 3, 1, 0, 0
5.500430000000000000e+05, 388, 388, 277, 201, 201, 139, 98, 98, 98, 64, 43, 43, 26, 14, 7, 7, 3, 1, 0
5.500440000000000000e+05, 942, 942, 712, 522, 388, 277, 201, 201, 139, 98, 98, 64, 43, 26, 16, 8, 4, 1, 0
5.500450000000000000e+05, 942, 712, 712, 712, 522, 522, 388, 277, 201, 139, 87, 58, 37, 23, 13, 7, 3, 1, 0
5.500460000000000000e+05, 1260, 1260, 942, 942, 712, 522, 388, 277, 201, 139, 98, 64, 43, 26, 16, 8, 3, 1, 0
5.500470000000000000e+05, 712, 522, 388, 277, 201, 139, 98, 64, 64, 43, 43, 43, 43, 26, 16, 7, 3, 1, 0
5.500480000000000000e+05, 712, 522, 522, 388, 277, 201, 201, 139, 139, 98, 98, 64, 43, 26, 13, 7, 3, 1, 0
5.500490000000000000e+05, 522, 522, 388, 388, 388, 87, 58, 58, 37, 37, 37, 23, 13, 13, 13, 7, 3, 1, 0
5.500500000000000000e+05, 942, 712, 522, 388, 388, 388, 277, 277, 201, 139, 98, 64, 43, 26, 13, 7, 3, 1, 0
5.500510000000000000e+05, 712, 712, 712, 712, 712, 522, 388, 277, 201, 139, 58, 58, 37, 23, 13, 7, 3, 1, 0
5.500520000000000000e+05, 712, 712, 712, 712, 522, 388, 277, 201, 201, 139, 98, 64, 43, 26, 16, 8, 4, 1, 0
5.500530000000000000e+05, 388, 388, 388, 388, 277, 277, 201, 139, 139, 139, 98, 64, 43, 26, 14, 8, 4, 1, 0
5.500540000000000000e+05, 697, 511, 370, 377, 277, 201, 139, 93, 61, 38, 43, 26, 14, 16, 16, 8, 4, 1, 0
5.500550000000000000e+05, 712, 522, 388, 388, 388, 388, 388, 277, 201, 139, 90, 61, 37, 26, 16, 8, 4, 1, 0
