ID, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18
9.400000000000000000e+05, 129, 88, 193, 182, 127, 86, 182, 127, 86, 57, 57, 86, 57, 36, 22, 12, 6, 2, 0
9.400010000000000000e+05, 1, 19, 10, 122, 660, 492, 492, 358, 258, 182, 127, 86, 57, 36, 22, 12, 6, 2, 0
9.400020000000000000e+05, 0, 495, 387, 358, 258, 667, 492, 358, 258, 182, 127, 86, 57, 36, 22, 12, 6, 2, 0
9.400030000000000000e+05, 1, 12, 6, 667, 492, 358, 258, 182, 127, 182, 127, 86, 57, 36, 22, 12, 6, 2, 0
9.400040000000000000e+05, 43, 26, 14, 12, 6, 2, 6, 2, 182, 127, 86, 57, 36, 22, 22, 12, 6, 2, 0
9.400050000000000000e+05, 1, 0, 57, 36, 22, 12, 492, 358, 258, 182, 127, 86, 57, 36, 22, 12, 6, 2, 0
9.400060000000000000e+05, 24, 1260, 1260, 942, 712, 584, 425, 302, 212, 152, 122, 78, 53, 33, 19, 10, 4, 1, 0
9.400070000000000000e+05, 1, 36, 22, 12, 6, 258, 182, 127, 86, 57, 36, 86, 57, 36, 22, 12, 6, 2, 0
9.400080000000000000e+05, 3, 9, 6, 2, 537, 492, 358, 258, 182, 127, 86, 57, 36, 22, 22, 12, 6, 2, 0
9.400090000000000000e+05, 0, 0, 15, 12, 6, 86, 57, 127, 86, 57, 36, 22, 12, 36, 22, 12, 6, 2, 0
9.400100000000000000e+05, 16, 16, 16, 1162, 868, 641, 492, 358, 258, 182, 127, 86, 57, 36, 22, 12, 6, 2, 0
9.400110000000000000e+05, 4, 24, 19, 1185, 889, 660, 485, 352, 252, 177, 122, 82, 53, 36, 22, 12, 6, 2, 0
9.400120000000000000e+05, 0, 2, 0, 0, 364, 667, 492, 358, 258, 182, 127, 86, 57, 36, 22, 12, 6, 2, 0
9.400130000000000000e+05, 1, 23, 19, 57, 36, 358, 258, 182, 127, 182, 127, 86, 57, 36, 22, 12, 6, 2, 0
9.400140000000000000e+05, 0, 2, 22, 86, 57, 36, 22, 12, 6, 2, 127, 86, 57, 36, 22, 12, 6, 2, 0
9.400150000000000000e+05, 1, 679, 584, 1031, 767, 584, 139, 98, 201, 139, 98, 64, 38, 24, 14, 7, 4, 1, 0
9.400160000000000000e+05, 0, 93, 69, 43, 28, 36, 22, 12, 6, 86, 57, 36, 22, 12, 6, 12, 6, 2, 0
9.400170000000000000e+05, 0, 12, 6, 6, 2, 0, 258, 182, 258, 182, 127, 86, 57, 36, 22, 12, 6, 2, 0
9.400180000000000000e+05, 0, 61, 40, 16, 16, 641, 338, 240, 240, 114, 75, 75, 29, 16, 16, 3, 3, 2, 0
9.400190000000000000e+05, 1, 0, 22, 12, 182, 127, 86, 127, 258, 182, 127, 86, 57, 36, 22, 12, 6, 2, 0
9.400200000000000000e+05, 13, 98, 64, 225, 157, 105, 69, 43, 28, 15, 12, 6, 2, 0, 6, 12, 6, 2, 0
9.400210000000000000e+05, 16, 16, 12, 182, 127, 86, 57, 36, 22, 12, 127, 86, 57, 36, 22, 12, 6, 2, 0
9.400220000000000000e+05, 0, 194, 194, 98, 98, 302, 423, 146, 98, 146, 98, 64, 40, 26, 13, 7, 3, 2, 0
9.400230000000000000e+05, 129, 122, 53, 53, 33, 19, 485, 252, 252, 177, 122, 82, 53, 33, 19, 10, 4, 1, 0
9.400240000000000000e+05, 3, 6, 57, 36, 22, 36, 57, 36, 22, 12, 57, 57, 57, 36, 22, 12, 6, 2, 0
9.400250000000000000e+05, 37, 12, 6, 12, 6, 2, 492, 358, 258, 182, 127, 86, 57, 36, 22, 12, 6, 2, 0
9.400260000000000000e+05, 14, 4, 669, 493, 669, 493, 367, 267, 184, 129, 122, 82, 53, 33, 19, 10, 4, 1, 0
9.400270000000000000e+05, 98, 98, 139, 98, 64, 98, 98, 64, 98, 64, 98, 64, 43, 25, 13, 7, 6, 2, 0
9.400280000000000000e+05, 38, 98, 98, 98, 24, 24, 24, 303, 212, 146, 98, 66, 41, 24, 13, 10, 4, 1, 0
9.400290000000000000e+05, 98, 98, 98, 98, 40, 98, 98, 98, 40, 146, 98, 65, 40, 29, 16, 9, 3, 2, 0
9.400300000000000000e+05, 61, 201, 1379, 558, 558, 558, 240, 240, 240, 167, 114, 75, 48, 29, 16, 8, 3, 2, 0
9.400310000000000000e+05, 0, 2, 6, 2, 12, 667, 492, 358, 258, 182, 127, 86, 57, 36, 22, 12, 6, 2, 0
9.400320000000000000e+05, 0, 7, 6, 6, 369, 358, 258, 182, 182, 127, 86, 57, 36, 22, 12, 12, 6, 2, 0
9.400330000000000000e+05, 8, 4, 360, 259, 676, 496, 360, 259, 252, 172, 122, 82, 53, 33, 19, 10, 4, 2, 0
9.400340000000000000e+05, 8, 4, 2, 6, 22, 12, 6, 2, 0, 182, 127, 86, 57, 36, 22, 12, 6, 2, 0
9.400350000000000000e+05, 0, 9, 3, 16, 240, 240, 240, 75, 240, 75, 114, 75, 16, 29, 16, 9, 3, 2, 0
9.400360000000000000e+05, 93, 61, 53, 653, 485, 346, 252, 252, 122, 122, 122, 53, 53, 19, 19, 10, 4, 1, 0
9.400370000000000000e+05, 0, 697, 511, 388, 277, 201, 201, 139, 98, 98, 98, 64, 13, 13, 13, 12, 6, 2, 0
9.400380000000000000e+05, 0, 12, 6, 2, 57, 36, 22, 12, 6, 2, 0, 57, 36, 22, 22, 12, 6, 2, 0
9.400390000000000000e+05, 4, 19, 19, 923, 708, 518, 374, 267, 252, 177, 122, 82, 57, 36, 22, 12, 6, 2, 0
9.400400000000000000e+05, 1, 1194, 668, 494, 359, 359, 359, 259, 183, 128, 122, 82, 53, 33, 19, 10, 4, 1, 0
9.400410000000000000e+05, 916, 679, 504, 388, 277, 194, 139, 98, 64, 98, 64, 42, 25, 13, 12, 12, 6, 2, 0
