ID, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18
5.900000000000000000e+05, 0, 12, 22, 36, 57, 36, 36, 22, 22, 12, 6, 6, 6, 6, 6, 2, 2, 0, 0
5.900010000000000000e+05, 0, 12, 22, 36, 22, 22, 12, 12, 12, 12, 12, 12, 12, 12, 6, 6, 6, 2, 0
5.900020000000000000e+05, 0, 12, 36, 22, 22, 22, 36, 22, 22, 12, 12, 12, 6, 6, 6, 2, 2, 2, 0
5.900030000000000000e+05, 0, 12, 12, 22, 22, 22, 22, 22, 12, 12, 12, 12, 6, 6, 2, 2, 2, 0, 0
5.900040000000000000e+05, 0, 6, 12, 22, 36, 36, 36, 22, 22, 12, 12, 22, 12, 6, 6, 6, 2, 0, 0
5.900050000000000000e+05, 0, 6, 12, 12, 12, 22, 22, 12, 12, 12, 6, 6, 6, 2, 6, 6, 2, 0, 0
5.900060000000000000e+05, 0, 12, 22, 22, 22, 22, 22, 22, 12, 12, 12, 12, 12, 6, 6, 6, 6, 2, 0
5.900070000000000000e+05, 0, 12, 12, 22, 22, 22, 22, 12, 12, 12, 12, 12, 6, 6, 6, 6, 2, 0, 0
5.900080000000000000e+05, 0, 22, 36, 36, 36, 36, 36, 36, 36, 36, 36, 22, 12, 6, 2, 0, 0, 0, 0
5.900090000000000000e+05, 0, 6, 12, 22, 36, 36, 36, 22, 22, 12, 12, 12, 12, 6, 2, 2, 2, 2, 0
5.900100000000000000e+05, 0, 12, 22, 36, 36, 36, 36, 36, 36, 22, 36, 22, 12, 12, 6, 6, 6, 2, 0
5.900110000000000000e+05, 0, 6, 12, 22, 36, 36, 36, 22, 22, 12, 6, 6, 6, 2, 2, 2, 0, 0, 0
5.900120000000000000e+05, 0, 12, 22, 36, 36, 36, 36, 36, 36, 22, 22, 22, 12, 6, 6, 2, 2, 2, 0
5.900130000000000000e+05, 0, 22, 22, 22, 36, 36, 22, 22, 22, 22, 22, 22, 36, 22, 12, 6, 2, 2, 0
5.900140000000000000e+05, 0, 6, 12, 12, 22, 22, 22, 22, 12, 12, 6, 6, 6, 6, 2, 2, 0, 2, 0
5.900150000000000000e+05, 0, 22, 22, 22, 36, 36, 36, 36, 36, 22, 22, 22, 12, 12, 12, 6, 2, 2, 0
5.900160000000000000e+05, 0, 12, 57, 36, 36, 36, 36, 36, 36, 36, 36, 22, 12, 6, 2, 2, 0, 0, 0
5.900170000000000000e+05, 0, 12, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 12, 6, 6, 6, 2, 0
5.900180000000000000e+05, 0, 12, 12, 12, 22, 22, 22, 12, 12, 6, 6, 12, 6, 6, 6, 6, 2, 2, 0
5.900190000000000000e+05, 0, 12, 22, 12, 12, 12, 12, 12, 12, 6, 6, 6, 6, 2, 0, 0, 0, 0, 0
5.900200000000000000e+05, 0, 12, 36, 36, 36, 57, 36, 57, 36, 36, 36, 36, 22, 12, 12, 6, 2, 2, 0
5.900210000000000000e+05, 0, 6, 12, 12, 12, 12, 22, 22, 22, 22, 22, 22, 22, 12, 12, 6, 2, 0, 0
