"ID","Pattern","Parent.size","Offspring.number","Largest.offspring","Smallest.offspring","Combined.size","Is.Approved","Observations"
2137,"[11, 6, 3]",21,3,11,3,20,1,11
2138,"[11, 6, 2, 1]",21,4,11,1,20,1,0
2139,"[11, 6, 1, 1, 1]",21,5,11,1,20,1,1
2140,"[11, 5, 4]",21,3,11,4,20,1,34
2141,"[11, 5, 3, 1]",21,4,11,1,20,1,0
2142,"[11, 5, 2, 2]",21,4,11,2,20,1,1
2143,"[11, 5, 2, 1, 1]",21,5,11,1,20,0,0
2144,"[11, 5, 1, 1, 1, 1]",21,6,11,1,20,1,0
2145,"[11, 4, 4, 1]",21,4,11,1,20,1,5
2146,"[11, 4, 3, 2]",21,4,11,2,20,1,0
2147,"[11, 4, 3, 1, 1]",21,5,11,1,20,0,0
2148,"[11, 4, 2, 2, 1]",21,5,11,1,20,0,0
2149,"[11, 4, 2, 1, 1, 1]",21,6,11,1,20,0,0
2150,"[11, 4, 1, 1, 1, 1, 1]",21,7,11,1,20,0,0
2151,"[11, 3, 3, 3]",21,4,11,3,20,1,25
2152,"[11, 3, 3, 2, 1]",21,5,11,1,20,0,0
2153,"[11, 3, 3, 1, 1, 1]",21,6,11,1,20,0,0
2154,"[11, 3, 2, 2, 2]",21,5,11,2,20,1,0
2155,"[11, 3, 2, 2, 1, 1]",21,6,11,1,20,0,0
2156,"[11, 3, 2, 1, 1, 1, 1]",21,7,11,1,20,0,0
2157,"[11, 3, 1, 1, 1, 1, 1, 1]",21,8,11,1,20,0,0
2158,"[11, 2, 2, 2, 2, 1]",21,6,11,1,20,1,1
2159,"[11, 2, 2, 2, 1, 1, 1]",21,7,11,1,20,0,0
2160,"[11, 2, 2, 1, 1, 1, 1, 1]",21,8,11,1,20,0,0
2161,"[11, 2, 1, 1, 1, 1, 1, 1, 1]",21,9,11,1,20,0,0
2162,"[11, 1, 1, 1, 1, 1, 1, 1, 1, 1]",21,10,11,1,20,1,2
2163,"[10, 10]",21,2,10,10,20,1,24961
2164,"[10, 9, 1]",21,3,10,1,20,0,0
2165,"[10, 8, 2]",21,3,10,2,20,0,0
2166,"[10, 8, 1, 1]",21,4,10,1,20,0,0
2167,"[10, 7, 3]",21,3,10,3,20,0,0
2168,"[10, 7, 2, 1]",21,4,10,1,20,0,0
2169,"[10, 7, 1, 1, 1]",21,5,10,1,20,0,0
2170,"[10, 6, 4]",21,3,10,4,20,0,0
2171,"[10, 6, 3, 1]",21,4,10,1,20,0,0
2172,"[10, 6, 2, 2]",21,4,10,2,20,0,0
2173,"[10, 6, 2, 1, 1]",21,5,10,1,20,0,0
2174,"[10, 6, 1, 1, 1, 1]",21,6,10,1,20,0,0
2175,"[10, 5, 5]",21,3,10,5,20,0,0
2176,"[10, 5, 4, 1]",21,4,10,1,20,0,0
2177,"[10, 5, 3, 2]",21,4,10,2,20,0,0
2178,"[10, 5, 3, 1, 1]",21,5,10,1,20,0,0
2179,"[10, 5, 2, 2, 1]",21,5,10,1,20,0,0
2180,"[10, 5, 2, 1, 1, 1]",21,6,10,1,20,0,0
2181,"[10, 5, 1, 1, 1, 1, 1]",21,7,10,1,20,0,0
2182,"[10, 4, 4, 2]",21,4,10,2,20,0,0
2183,"[10, 4, 4, 1, 1]",21,5,10,1,20,0,0
2184,"[10, 4, 3, 3]",21,4,10,3,20,0,0
2185,"[10, 4, 3, 2, 1]",21,5,10,1,20,0,0
2186,"[10, 4, 3, 1, 1, 1]",21,6,10,1,20,0,0
2187,"[10, 4, 2, 2, 2]",21,5,10,2,20,0,0
2188,"[10, 4, 2, 2, 1, 1]",21,6,10,1,20,0,0
2189,"[10, 4, 2, 1, 1, 1, 1]",21,7,10,1,20,0,0
2190,"[10, 4, 1, 1, 1, 1, 1, 1]",21,8,10,1,20,0,0
2191,"[10, 3, 3, 3, 1]",21,5,10,1,20,0,0
2192,"[10, 3, 3, 2, 2]",21,5,10,2,20,0,0
2193,"[10, 3, 3, 2, 1, 1]",21,6,10,1,20,0,0
2194,"[10, 3, 3, 1, 1, 1, 1]",21,7,10,1,20,0,0
2195,"[10, 3, 2, 2, 2, 1]",21,6,10,1,20,0,0
2196,"[10, 3, 2, 2, 1, 1, 1]",21,7,10,1,20,0,0
2197,"[10, 3, 2, 1, 1, 1, 1, 1]",21,8,10,1,20,0,0
2198,"[10, 3, 1, 1, 1, 1, 1, 1, 1]",21,9,10,1,20,0,0
2199,"[10, 2, 2, 2, 2, 2]",21,6,10,2,20,0,0
2200,"[10, 2, 2, 2, 2, 1, 1]",21,7,10,1,20,0,0
2201,"[10, 2, 2, 2, 1, 1, 1, 1]",21,8,10,1,20,0,0
2202,"[10, 2, 2, 1, 1, 1, 1, 1, 1]",21,9,10,1,20,0,0
2203,"[10, 2, 1, 1, 1, 1, 1, 1, 1, 1]",21,10,10,1,20,0,0
2204,"[10, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",21,11,10,1,20,0,0
2205,"[9, 9, 2]",21,3,9,2,20,1,108
2206,"[9, 9, 1, 1]",21,4,9,1,20,1,69
2207,"[9, 8, 3]",21,3,9,3,20,1,13
2208,"[9, 8, 2, 1]",21,4,9,1,20,0,0
2209,"[9, 8, 1, 1, 1]",21,5,9,1,20,0,0
2210,"[9, 7, 4]",21,3,9,4,20,1,8
2211,"[9, 7, 3, 1]",21,4,9,1,20,0,0
2212,"[9, 7, 2, 2]",21,4,9,2,20,0,0
2213,"[9, 7, 2, 1, 1]",21,5,9,1,20,0,0
2214,"[9, 7, 1, 1, 1, 1]",21,6,9,1,20,0,0
2215,"[9, 6, 5]",21,3,9,5,20,1,10
2216,"[9, 6, 4, 1]",21,4,9,1,20,0,0
2217,"[9, 6, 3, 2]",21,4,9,2,20,0,0
2218,"[9, 6, 3, 1, 1]",21,5,9,1,20,0,0
2219,"[9, 6, 2, 2, 1]",21,5,9,1,20,0,0
2220,"[9, 6, 2, 1, 1, 1]",21,6,9,1,20,0,0
2221,"[9, 6, 1, 1, 1, 1, 1]",21,7,9,1,20,0,0
2222,"[9, 5, 5, 1]",21,4,9,1,20,0,0
2223,"[9, 5, 4, 2]",21,4,9,2,20,0,0
2224,"[9, 5, 4, 1, 1]",21,5,9,1,20,0,0
2225,"[9, 5, 3, 3]",21,4,9,3,20,1,0
2226,"[9, 5, 3, 2, 1]",21,5,9,1,20,0,0
2227,"[9, 5, 3, 1, 1, 1]",21,6,9,1,20,0,0
2228,"[9, 5, 2, 2, 2]",21,5,9,2,20,0,0
2229,"[9, 5, 2, 2, 1, 1]",21,6,9,1,20,0,0
2230,"[9, 5, 2, 1, 1, 1, 1]",21,7,9,1,20,0,0
2231,"[9, 5, 1, 1, 1, 1, 1, 1]",21,8,9,1,20,0,0
2232,"[9, 4, 4, 3]",21,4,9,3,20,1,0
2233,"[9, 4, 4, 2, 1]",21,5,9,1,20,0,0
2234,"[9, 4, 4, 1, 1, 1]",21,6,9,1,20,0,0
2235,"[9, 4, 3, 3, 1]",21,5,9,1,20,0,0
2236,"[9, 4, 3, 2, 2]",21,5,9,2,20,0,0
2237,"[9, 4, 3, 2, 1, 1]",21,6,9,1,20,0,0
2238,"[9, 4, 3, 1, 1, 1, 1]",21,7,9,1,20,0,0
2239,"[9, 4, 2, 2, 2, 1]",21,6,9,1,20,0,0
2240,"[9, 4, 2, 2, 1, 1, 1]",21,7,9,1,20,0,0
2241,"[9, 4, 2, 1, 1, 1, 1, 1]",21,8,9,1,20,0,0
2242,"[9, 4, 1, 1, 1, 1, 1, 1, 1]",21,9,9,1,20,0,0
2243,"[9, 3, 3, 3, 2]",21,5,9,2,20,0,0
2244,"[9, 3, 3, 3, 1, 1]",21,6,9,1,20,0,0
2245,"[9, 3, 3, 2, 2, 1]",21,6,9,1,20,0,0
2246,"[9, 3, 3, 2, 1, 1, 1]",21,7,9,1,20,0,0
2247,"[9, 3, 3, 1, 1, 1, 1, 1]",21,8,9,1,20,0,0
2248,"[9, 3, 2, 2, 2, 2]",21,6,9,2,20,0,0
2249,"[9, 3, 2, 2, 2, 1, 1]",21,7,9,1,20,0,0
2250,"[9, 3, 2, 2, 1, 1, 1, 1]",21,8,9,1,20,0,0
2251,"[9, 3, 2, 1, 1, 1, 1, 1, 1]",21,9,9,1,20,0,0
2252,"[9, 3, 1, 1, 1, 1, 1, 1, 1, 1]",21,10,9,1,20,0,0
2253,"[9, 2, 2, 2, 2, 2, 1]",21,7,9,1,20,0,0
2254,"[9, 2, 2, 2, 2, 1, 1, 1]",21,8,9,1,20,0,0
2255,"[9, 2, 2, 2, 1, 1, 1, 1, 1]",21,9,9,1,20,0,0
2256,"[9, 2, 2, 1, 1, 1, 1, 1, 1, 1]",21,10,9,1,20,0,0
2257,"[9, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1]",21,11,9,1,20,0,0
2258,"[9, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",21,12,9,1,20,0,0
2259,"[8, 8, 4]",21,3,8,4,20,1,163
2260,"[8, 8, 3, 1]",21,4,8,1,20,1,3
2261,"[8, 8, 2, 2]",21,4,8,2,20,1,20
2262,"[8, 8, 2, 1, 1]",21,5,8,1,20,0,0
2263,"[8, 8, 1, 1, 1, 1]",21,6,8,1,20,1,13
2264,"[8, 7, 5]",21,3,8,5,20,1,24
2265,"[8, 7, 4, 1]",21,4,8,1,20,0,0
2266,"[8, 7, 3, 2]",21,4,8,2,20,0,0
2267,"[8, 7, 3, 1, 1]",21,5,8,1,20,0,0
2268,"[8, 7, 2, 2, 1]",21,5,8,1,20,0,0
2269,"[8, 7, 2, 1, 1, 1]",21,6,8,1,20,0,0
2270,"[8, 7, 1, 1, 1, 1, 1]",21,7,8,1,20,0,0
2271,"[8, 6, 6]",21,3,8,6,20,1,216
2272,"[8, 6, 5, 1]",21,4,8,1,20,0,0
2273,"[8, 6, 4, 2]",21,4,8,2,20,0,0
2274,"[8, 6, 4, 1, 1]",21,5,8,1,20,0,0
2275,"[8, 6, 3, 3]",21,4,8,3,20,0,0
2276,"[8, 6, 3, 2, 1]",21,5,8,1,20,0,0
2277,"[8, 6, 3, 1, 1, 1]",21,6,8,1,20,0,0
2278,"[8, 6, 2, 2, 2]",21,5,8,2,20,0,0
2279,"[8, 6, 2, 2, 1, 1]",21,6,8,1,20,0,0
2280,"[8, 6, 2, 1, 1, 1, 1]",21,7,8,1,20,0,0
2281,"[8, 6, 1, 1, 1, 1, 1, 1]",21,8,8,1,20,0,0
2282,"[8, 5, 5, 2]",21,4,8,2,20,0,0
2283,"[8, 5, 5, 1, 1]",21,5,8,1,20,0,0
2284,"[8, 5, 4, 3]",21,4,8,3,20,0,0
2285,"[8, 5, 4, 2, 1]",21,5,8,1,20,0,0
2286,"[8, 5, 4, 1, 1, 1]",21,6,8,1,20,0,0
2287,"[8, 5, 3, 3, 1]",21,5,8,1,20,0,0
2288,"[8, 5, 3, 2, 2]",21,5,8,2,20,0,0
2289,"[8, 5, 3, 2, 1, 1]",21,6,8,1,20,0,0
2290,"[8, 5, 3, 1, 1, 1, 1]",21,7,8,1,20,0,0
2291,"[8, 5, 2, 2, 2, 1]",21,6,8,1,20,0,0
2292,"[8, 5, 2, 2, 1, 1, 1]",21,7,8,1,20,0,0
2293,"[8, 5, 2, 1, 1, 1, 1, 1]",21,8,8,1,20,0,0
2294,"[8, 5, 1, 1, 1, 1, 1, 1, 1]",21,9,8,1,20,0,0
2295,"[8, 4, 4, 4]",21,4,8,4,20,0,0
2296,"[8, 4, 4, 3, 1]",21,5,8,1,20,0,0
2297,"[8, 4, 4, 2, 2]",21,5,8,2,20,0,0
2298,"[8, 4, 4, 2, 1, 1]",21,6,8,1,20,0,0
2299,"[8, 4, 4, 1, 1, 1, 1]",21,7,8,1,20,0,0
2300,"[8, 4, 3, 3, 2]",21,5,8,2,20,0,0
2301,"[8, 4, 3, 3, 1, 1]",21,6,8,1,20,0,0
2302,"[8, 4, 3, 2, 2, 1]",21,6,8,1,20,0,0
2303,"[8, 4, 3, 2, 1, 1, 1]",21,7,8,1,20,0,0
2304,"[8, 4, 3, 1, 1, 1, 1, 1]",21,8,8,1,20,0,0
2305,"[8, 4, 2, 2, 2, 2]",21,6,8,2,20,0,0
2306,"[8, 4, 2, 2, 2, 1, 1]",21,7,8,1,20,0,0
2307,"[8, 4, 2, 2, 1, 1, 1, 1]",21,8,8,1,20,0,0
2308,"[8, 4, 2, 1, 1, 1, 1, 1, 1]",21,9,8,1,20,0,0
2309,"[8, 4, 1, 1, 1, 1, 1, 1, 1, 1]",21,10,8,1,20,0,0
2310,"[8, 3, 3, 3, 3]",21,5,8,3,20,1,3
2311,"[8, 3, 3, 3, 2, 1]",21,6,8,1,20,0,0
2312,"[8, 3, 3, 3, 1, 1, 1]",21,7,8,1,20,0,0
2313,"[8, 3, 3, 2, 2, 2]",21,6,8,2,20,0,0
2314,"[8, 3, 3, 2, 2, 1, 1]",21,7,8,1,20,0,0
2315,"[8, 3, 3, 2, 1, 1, 1, 1]",21,8,8,1,20,0,0
2316,"[8, 3, 3, 1, 1, 1, 1, 1, 1]",21,9,8,1,20,0,0
2317,"[8, 3, 2, 2, 2, 2, 1]",21,7,8,1,20,0,0
2318,"[8, 3, 2, 2, 2, 1, 1, 1]",21,8,8,1,20,0,0
2319,"[8, 3, 2, 2, 1, 1, 1, 1, 1]",21,9,8,1,20,0,0
2320,"[8, 3, 2, 1, 1, 1, 1, 1, 1, 1]",21,10,8,1,20,0,0
2321,"[8, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1]",21,11,8,1,20,0,0
2322,"[8, 2, 2, 2, 2, 2, 2]",21,7,8,2,20,0,0
2323,"[8, 2, 2, 2, 2, 2, 1, 1]",21,8,8,1,20,0,0
2324,"[8, 2, 2, 2, 2, 1, 1, 1, 1]",21,9,8,1,20,0,0
2325,"[8, 2, 2, 2, 1, 1, 1, 1, 1, 1]",21,10,8,1,20,0,0
2326,"[8, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1]",21,11,8,1,20,0,0
2327,"[8, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",21,12,8,1,20,0,0
2328,"[8, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",21,13,8,1,20,0,0
2329,"[7, 7, 6]",21,3,7,6,20,1,410
2330,"[7, 7, 5, 1]",21,4,7,1,20,1,2
2331,"[7, 7, 4, 2]",21,4,7,2,20,1,1
2332,"[7, 7, 4, 1, 1]",21,5,7,1,20,1,0
2333,"[7, 7, 3, 3]",21,4,7,3,20,1,12
2334,"[7, 7, 3, 2, 1]",21,5,7,1,20,0,0
2335,"[7, 7, 3, 1, 1, 1]",21,6,7,1,20,0,0
2336,"[7, 7, 2, 2, 2]",21,5,7,2,20,1,5
2337,"[7, 7, 2, 2, 1, 1]",21,6,7,1,20,0,0
2338,"[7, 7, 2, 1, 1, 1, 1]",21,7,7,1,20,0,0
2339,"[7, 7, 1, 1, 1, 1, 1, 1]",21,8,7,1,20,1,2
2340,"[7, 6, 6, 1]",21,4,7,1,20,0,0
2341,"[7, 6, 5, 2]",21,4,7,2,20,0,0
2342,"[7, 6, 5, 1, 1]",21,5,7,1,20,0,0
2343,"[7, 6, 4, 3]",21,4,7,3,20,0,0
2344,"[7, 6, 4, 2, 1]",21,5,7,1,20,0,0
2345,"[7, 6, 4, 1, 1, 1]",21,6,7,1,20,0,0
2346,"[7, 6, 3, 3, 1]",21,5,7,1,20,0,0
2347,"[7, 6, 3, 2, 2]",21,5,7,2,20,0,0
2348,"[7, 6, 3, 2, 1, 1]",21,6,7,1,20,0,0
2349,"[7, 6, 3, 1, 1, 1, 1]",21,7,7,1,20,0,0
2350,"[7, 6, 2, 2, 2, 1]",21,6,7,1,20,0,0
2351,"[7, 6, 2, 2, 1, 1, 1]",21,7,7,1,20,0,0
2352,"[7, 6, 2, 1, 1, 1, 1, 1]",21,8,7,1,20,0,0
2353,"[7, 6, 1, 1, 1, 1, 1, 1, 1]",21,9,7,1,20,0,0
2354,"[7, 5, 5, 3]",21,4,7,3,20,0,0
2355,"[7, 5, 5, 2, 1]",21,5,7,1,20,0,0
2356,"[7, 5, 5, 1, 1, 1]",21,6,7,1,20,0,0
2357,"[7, 5, 4, 4]",21,4,7,4,20,1,0
2358,"[7, 5, 4, 3, 1]",21,5,7,1,20,0,0
2359,"[7, 5, 4, 2, 2]",21,5,7,2,20,0,0
2360,"[7, 5, 4, 2, 1, 1]",21,6,7,1,20,0,0
2361,"[7, 5, 4, 1, 1, 1, 1]",21,7,7,1,20,0,0
2362,"[7, 5, 3, 3, 2]",21,5,7,2,20,0,0
2363,"[7, 5, 3, 3, 1, 1]",21,6,7,1,20,0,0
2364,"[7, 5, 3, 2, 2, 1]",21,6,7,1,20,0,0
2365,"[7, 5, 3, 2, 1, 1, 1]",21,7,7,1,20,0,0
2366,"[7, 5, 3, 1, 1, 1, 1, 1]",21,8,7,1,20,0,0
2367,"[7, 5, 2, 2, 2, 2]",21,6,7,2,20,0,0
2368,"[7, 5, 2, 2, 2, 1, 1]",21,7,7,1,20,0,0
2369,"[7, 5, 2, 2, 1, 1, 1, 1]",21,8,7,1,20,0,0
2370,"[7, 5, 2, 1, 1, 1, 1, 1, 1]",21,9,7,1,20,0,0
2371,"[7, 5, 1, 1, 1, 1, 1, 1, 1, 1]",21,10,7,1,20,0,0
2372,"[7, 4, 4, 4, 1]",21,5,7,1,20,0,0
2373,"[7, 4, 4, 3, 2]",21,5,7,2,20,0,0
2374,"[7, 4, 4, 3, 1, 1]",21,6,7,1,20,0,0
2375,"[7, 4, 4, 2, 2, 1]",21,6,7,1,20,0,0
2376,"[7, 4, 4, 2, 1, 1, 1]",21,7,7,1,20,0,0
2377,"[7, 4, 4, 1, 1, 1, 1, 1]",21,8,7,1,20,0,0
2378,"[7, 4, 3, 3, 3]",21,5,7,3,20,0,0
2379,"[7, 4, 3, 3, 2, 1]",21,6,7,1,20,0,0
2380,"[7, 4, 3, 3, 1, 1, 1]",21,7,7,1,20,0,0
2381,"[7, 4, 3, 2, 2, 2]",21,6,7,2,20,0,0
2382,"[7, 4, 3, 2, 2, 1, 1]",21,7,7,1,20,0,0
2383,"[7, 4, 3, 2, 1, 1, 1, 1]",21,8,7,1,20,0,0
2384,"[7, 4, 3, 1, 1, 1, 1, 1, 1]",21,9,7,1,20,0,0
2385,"[7, 4, 2, 2, 2, 2, 1]",21,7,7,1,20,0,0
2386,"[7, 4, 2, 2, 2, 1, 1, 1]",21,8,7,1,20,0,0
2387,"[7, 4, 2, 2, 1, 1, 1, 1, 1]",21,9,7,1,20,0,0
2388,"[7, 4, 2, 1, 1, 1, 1, 1, 1, 1]",21,10,7,1,20,0,0
2389,"[7, 4, 1, 1, 1, 1, 1, 1, 1, 1, 1]",21,11,7,1,20,0,0
2390,"[7, 3, 3, 3, 3, 1]",21,6,7,1,20,0,0
2391,"[7, 3, 3, 3, 2, 2]",21,6,7,2,20,0,0
2392,"[7, 3, 3, 3, 2, 1, 1]",21,7,7,1,20,0,0
2393,"[7, 3, 3, 3, 1, 1, 1, 1]",21,8,7,1,20,0,0
2394,"[7, 3, 3, 2, 2, 2, 1]",21,7,7,1,20,0,0
2395,"[7, 3, 3, 2, 2, 1, 1, 1]",21,8,7,1,20,0,0
2396,"[7, 3, 3, 2, 1, 1, 1, 1, 1]",21,9,7,1,20,0,0
2397,"[7, 3, 3, 1, 1, 1, 1, 1, 1, 1]",21,10,7,1,20,0,0
2398,"[7, 3, 2, 2, 2, 2, 2]",21,7,7,2,20,0,0
2399,"[7, 3, 2, 2, 2, 2, 1, 1]",21,8,7,1,20,0,0
2400,"[7, 3, 2, 2, 2, 1, 1, 1, 1]",21,9,7,1,20,0,0
2401,"[7, 3, 2, 2, 1, 1, 1, 1, 1, 1]",21,10,7,1,20,0,0
2402,"[7, 3, 2, 1, 1, 1, 1, 1, 1, 1, 1]",21,11,7,1,20,0,0
2403,"[7, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",21,12,7,1,20,0,0
2404,"[7, 2, 2, 2, 2, 2, 2, 1]",21,8,7,1,20,0,0
2405,"[7, 2, 2, 2, 2, 2, 1, 1, 1]",21,9,7,1,20,0,0
2406,"[7, 2, 2, 2, 2, 1, 1, 1, 1, 1]",21,10,7,1,20,0,0
2407,"[7, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1]",21,11,7,1,20,0,0
2408,"[7, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1]",21,12,7,1,20,0,0
2409,"[7, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",21,13,7,1,20,0,0
2410,"[7, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",21,14,7,1,20,0,0
2411,"[6, 6, 6, 2]",21,4,6,2,20,1,20
2412,"[6, 6, 6, 1, 1]",21,5,6,1,20,1,8
2413,"[6, 6, 5, 3]",21,4,6,3,20,1,2
2414,"[6, 6, 5, 2, 1]",21,5,6,1,20,0,0
2415,"[6, 6, 5, 1, 1, 1]",21,6,6,1,20,0,0
2416,"[6, 6, 4, 4]",21,4,6,4,20,1,7
2417,"[6, 6, 4, 3, 1]",21,5,6,1,20,0,0
2418,"[6, 6, 4, 2, 2]",21,5,6,2,20,0,0
2419,"[6, 6, 4, 2, 1, 1]",21,6,6,1,20,0,0
2420,"[6, 6, 4, 1, 1, 1, 1]",21,7,6,1,20,0,0
2421,"[6, 6, 3, 3, 2]",21,5,6,2,20,0,0
2422,"[6, 6, 3, 3, 1, 1]",21,6,6,1,20,0,0
2423,"[6, 6, 3, 2, 2, 1]",21,6,6,1,20,0,0
2424,"[6, 6, 3, 2, 1, 1, 1]",21,7,6,1,20,0,0
2425,"[6, 6, 3, 1, 1, 1, 1, 1]",21,8,6,1,20,0,0
2426,"[6, 6, 2, 2, 2, 2]",21,6,6,2,20,0,0
2427,"[6, 6, 2, 2, 2, 1, 1]",21,7,6,1,20,0,0
2428,"[6, 6, 2, 2, 1, 1, 1, 1]",21,8,6,1,20,0,0
2429,"[6, 6, 2, 1, 1, 1, 1, 1, 1]",21,9,6,1,20,0,0
2430,"[6, 6, 1, 1, 1, 1, 1, 1, 1, 1]",21,10,6,1,20,0,0
2431,"[6, 5, 5, 4]",21,4,6,4,20,0,0
2432,"[6, 5, 5, 3, 1]",21,5,6,1,20,0,0
2433,"[6, 5, 5, 2, 2]",21,5,6,2,20,0,0
2434,"[6, 5, 5, 2, 1, 1]",21,6,6,1,20,0,0
2435,"[6, 5, 5, 1, 1, 1, 1]",21,7,6,1,20,0,0
2436,"[6, 5, 4, 4, 1]",21,5,6,1,20,0,0
2437,"[6, 5, 4, 3, 2]",21,5,6,2,20,0,0
2438,"[6, 5, 4, 3, 1, 1]",21,6,6,1,20,0,0
2439,"[6, 5, 4, 2, 2, 1]",21,6,6,1,20,0,0
2440,"[6, 5, 4, 2, 1, 1, 1]",21,7,6,1,20,0,0
2441,"[6, 5, 4, 1, 1, 1, 1, 1]",21,8,6,1,20,0,0
2442,"[6, 5, 3, 3, 3]",21,5,6,3,20,0,0
2443,"[6, 5, 3, 3, 2, 1]",21,6,6,1,20,0,0
2444,"[6, 5, 3, 3, 1, 1, 1]",21,7,6,1,20,0,0
2445,"[6, 5, 3, 2, 2, 2]",21,6,6,2,20,0,0
2446,"[6, 5, 3, 2, 2, 1, 1]",21,7,6,1,20,0,0
2447,"[6, 5, 3, 2, 1, 1, 1, 1]",21,8,6,1,20,0,0
2448,"[6, 5, 3, 1, 1, 1, 1, 1, 1]",21,9,6,1,20,0,0
2449,"[6, 5, 2, 2, 2, 2, 1]",21,7,6,1,20,0,0
2450,"[6, 5, 2, 2, 2, 1, 1, 1]",21,8,6,1,20,0,0
2451,"[6, 5, 2, 2, 1, 1, 1, 1, 1]",21,9,6,1,20,0,0
2452,"[6, 5, 2, 1, 1, 1, 1, 1, 1, 1]",21,10,6,1,20,0,0
2453,"[6, 5, 1, 1, 1, 1, 1, 1, 1, 1, 1]",21,11,6,1,20,0,0
2454,"[6, 4, 4, 4, 2]",21,5,6,2,20,0,0
2455,"[6, 4, 4, 4, 1, 1]",21,6,6,1,20,0,0
2456,"[6, 4, 4, 3, 3]",21,5,6,3,20,0,0
2457,"[6, 4, 4, 3, 2, 1]",21,6,6,1,20,0,0
2458,"[6, 4, 4, 3, 1, 1, 1]",21,7,6,1,20,0,0
2459,"[6, 4, 4, 2, 2, 2]",21,6,6,2,20,0,0
2460,"[6, 4, 4, 2, 2, 1, 1]",21,7,6,1,20,0,0
2461,"[6, 4, 4, 2, 1, 1, 1, 1]",21,8,6,1,20,0,0
2462,"[6, 4, 4, 1, 1, 1, 1, 1, 1]",21,9,6,1,20,0,0
2463,"[6, 4, 3, 3, 3, 1]",21,6,6,1,20,0,0
2464,"[6, 4, 3, 3, 2, 2]",21,6,6,2,20,0,0
2465,"[6, 4, 3, 3, 2, 1, 1]",21,7,6,1,20,0,0
2466,"[6, 4, 3, 3, 1, 1, 1, 1]",21,8,6,1,20,0,0
2467,"[6, 4, 3, 2, 2, 2, 1]",21,7,6,1,20,0,0
2468,"[6, 4, 3, 2, 2, 1, 1, 1]",21,8,6,1,20,0,0
2469,"[6, 4, 3, 2, 1, 1, 1, 1, 1]",21,9,6,1,20,0,0
2470,"[6, 4, 3, 1, 1, 1, 1, 1, 1, 1]",21,10,6,1,20,0,0
2471,"[6, 4, 2, 2, 2, 2, 2]",21,7,6,2,20,0,0
2472,"[6, 4, 2, 2, 2, 2, 1, 1]",21,8,6,1,20,0,0
2473,"[6, 4, 2, 2, 2, 1, 1, 1, 1]",21,9,6,1,20,0,0
2474,"[6, 4, 2, 2, 1, 1, 1, 1, 1, 1]",21,10,6,1,20,0,0
2475,"[6, 4, 2, 1, 1, 1, 1, 1, 1, 1, 1]",21,11,6,1,20,0,0
2476,"[6, 4, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",21,12,6,1,20,0,0
2477,"[6, 3, 3, 3, 3, 2]",21,6,6,2,20,0,0
2478,"[6, 3, 3, 3, 3, 1, 1]",21,7,6,1,20,0,0
2479,"[6, 3, 3, 3, 2, 2, 1]",21,7,6,1,20,0,0
2480,"[6, 3, 3, 3, 2, 1, 1, 1]",21,8,6,1,20,0,0
2481,"[6, 3, 3, 3, 1, 1, 1, 1, 1]",21,9,6,1,20,0,0
2482,"[6, 3, 3, 2, 2, 2, 2]",21,7,6,2,20,0,0
2483,"[6, 3, 3, 2, 2, 2, 1, 1]",21,8,6,1,20,0,0
2484,"[6, 3, 3, 2, 2, 1, 1, 1, 1]",21,9,6,1,20,0,0
2485,"[6, 3, 3, 2, 1, 1, 1, 1, 1, 1]",21,10,6,1,20,0,0
2486,"[6, 3, 3, 1, 1, 1, 1, 1, 1, 1, 1]",21,11,6,1,20,0,0
2487,"[6, 3, 2, 2, 2, 2, 2, 1]",21,8,6,1,20,0,0
2488,"[6, 3, 2, 2, 2, 2, 1, 1, 1]",21,9,6,1,20,0,0
2489,"[6, 3, 2, 2, 2, 1, 1, 1, 1, 1]",21,10,6,1,20,0,0
2490,"[6, 3, 2, 2, 1, 1, 1, 1, 1, 1, 1]",21,11,6,1,20,0,0
2491,"[6, 3, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1]",21,12,6,1,20,0,0
2492,"[6, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",21,13,6,1,20,0,0
2493,"[6, 2, 2, 2, 2, 2, 2, 2]",21,8,6,2,20,0,0
2494,"[6, 2, 2, 2, 2, 2, 2, 1, 1]",21,9,6,1,20,0,0
2495,"[6, 2, 2, 2, 2, 2, 1, 1, 1, 1]",21,10,6,1,20,0,0
